asin,title,image,rating,rating_scale,reviews_count,price,is_sponsored,position,url,html_output
B08F2FZR82,($20 eGift Card Promotion) Tracfone Monthly Carrier Subscription for Unlimited Talk Text 1GB Data plus Carryover Data Plan + Tracfone SIM Kit (T-Mobile Compatible)$15.00$15.00,https://m.media-amazon.com/images/I/71oFaOtAu8L._AC_UY218_.jpg,2,5,1,15,true,1,https://www.amazon.com/s?k=mobile+phones&ref=nb_sb_noss_2,https://scrapezone-raw-htmls.s3.amazonaws.com/26311c52-3ddd-48b1-99da-c1e568c51f40-5f935f0ef53aaba35fbed42a.html?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIASK4CGCNC3YT6CW63%2F20201023%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20201023T225429Z&X-Amz-Expires=604800&X-Amz-Signature=82952733bcf439d3013c778473cd168d40261ccdce9a8d331e5f32339217c864&X-Amz-SignedHeaders=host
B07Y5V9CSW,Simple Mobile Samsung Galaxy A20 4G LTE Prepaid Smartphone (Locked) - Black - 32GB - Sim Card Included - GSM$135.82$135.82,https://m.media-amazon.com/images/I/81slhmwksHL._AC_UY218_.jpg,4.7,5,5,135.82,true,2,https://www.amazon.com/s?k=mobile+phones&ref=nb_sb_noss_2,https://scrapezone-raw-htmls.s3.amazonaws.com/26311c52-3ddd-48b1-99da-c1e568c51f40-5f935f0ef53aaba35fbed42a.html?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIASK4CGCNC3YT6CW63%2F20201023%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20201023T225429Z&X-Amz-Expires=604800&X-Amz-Signature=82952733bcf439d3013c778473cd168d40261ccdce9a8d331e5f32339217c864&X-Amz-SignedHeaders=host
B08CFSZLQ4,Google Pixel 4a - New Unlocked Android Smartphone - 128 GB of Storage - Up to 24 Hour Battery - Just Black$349.99$349.99,https://m.media-amazon.com/images/I/71Q8gm97H8L._AC_UY218_.jpg,4.6,5,881,349.99,false,3,https://www.amazon.com/s?k=mobile+phones&ref=nb_sb_noss_2,https://scrapezone-raw-htmls.s3.amazonaws.com/26311c52-3ddd-48b1-99da-c1e568c51f40-5f935f0ef53aaba35fbed42a.html?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIASK4CGCNC3YT6CW63%2F20201023%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20201023T225429Z&X-Amz-Expires=604800&X-Amz-Signature=82952733bcf439d3013c778473cd168d40261ccdce9a8d331e5f32339217c864&X-Amz-SignedHeaders=host
B08L7QLHDC,"ZZYH Smartphone Unlocked Mobile Phone (12GB+512GB) 6.9"" SIM Free Cell Phones Android 10.0 24MP Front + 48MP Rear Camera with 128GB TF Card$175.89$175.89",https://m.media-amazon.com/images/I/71JaFdfbKTL._AC_UY218_.jpg,NaN,5,,175.89,false,4,https://www.amazon.com/s?k=mobile+phones&ref=nb_sb_noss_2,https://scrapezone-raw-htmls.s3.amazonaws.com/26311c52-3ddd-48b1-99da-c1e568c51f40-5f935f0ef53aaba35fbed42a.html?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIASK4CGCNC3YT6CW63%2F20201023%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20201023T225429Z&X-Amz-Expires=604800&X-Amz-Signature=82952733bcf439d3013c778473cd168d40261ccdce9a8d331e5f32339217c864&X-Amz-SignedHeaders=host
B07ZDJCL76,Samsung Galaxy A20s A207M 32GB DUOS GSM Unlocked Phone (International Variant/US Compatible LTE) - Black$169.00$169.00,https://m.media-amazon.com/images/I/31DVClA7BaL._AC_UY218_.jpg,4.3,5,6044,169,false,5,https://www.amazon.com/s?k=mobile+phones&ref=nb_sb_noss_2,https://scrapezone-raw-htmls.s3.amazonaws.com/26311c52-3ddd-48b1-99da-c1e568c51f40-5f935f0ef53aaba35fbed42a.html?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIASK4CGCNC3YT6CW63%2F20201023%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20201023T225429Z&X-Amz-Expires=604800&X-Amz-Signature=82952733bcf439d3013c778473cd168d40261ccdce9a8d331e5f32339217c864&X-Amz-SignedHeaders=host
B086FKHTLZ,Samsung Galaxy A51 Factory Unlocked Cell Phone | 128GB of Storage | Long Lasting Battery | Single SIM | GSM or CDMA Compatible | US Version | Black$395.78$395.78,https://m.media-amazon.com/images/I/71QZcCFQcAL._AC_UY218_.jpg,4.3,5,5640,395.78,false,6,https://www.amazon.com/s?k=mobile+phones&ref=nb_sb_noss_2,https://scrapezone-raw-htmls.s3.amazonaws.com/26311c52-3ddd-48b1-99da-c1e568c51f40-5f935f0ef53aaba35fbed42a.html?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIASK4CGCNC3YT6CW63%2F20201023%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20201023T225429Z&X-Amz-Expires=604800&X-Amz-Signature=82952733bcf439d3013c778473cd168d40261ccdce9a8d331e5f32339217c864&X-Amz-SignedHeaders=host
B07Y5TTS2Q,Tracfone Motorola Moto E6 4G LTE Prepaid Smartphone (Locked) - Black - 16GB - Sim Card Included - CDMA$39.88$39.88,https://m.media-amazon.com/images/I/71+hwPZiawL._AC_UY218_.jpg,4.3,5,72,39.88,true,7,https://www.amazon.com/s?k=mobile+phones&ref=nb_sb_noss_2,https://scrapezone-raw-htmls.s3.amazonaws.com/26311c52-3ddd-48b1-99da-c1e568c51f40-5f935f0ef53aaba35fbed42a.html?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIASK4CGCNC3YT6CW63%2F20201023%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20201023T225429Z&X-Amz-Expires=604800&X-Amz-Signature=82952733bcf439d3013c778473cd168d40261ccdce9a8d331e5f32339217c864&X-Amz-SignedHeaders=host
B088N774B7,Simple Mobile Samsung Galaxy A01 4G LTE Prepaid Smartphone - Black - 16GB - Sim Card Included - GSM$59.00$59.00,https://m.media-amazon.com/images/I/61gxAIP-W5L._AC_UY218_.jpg,4.5,5,70,59,false,8,https://www.amazon.com/s?k=mobile+phones&ref=nb_sb_noss_2,https://scrapezone-raw-htmls.s3.amazonaws.com/26311c52-3ddd-48b1-99da-c1e568c51f40-5f935f0ef53aaba35fbed42a.html?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIASK4CGCNC3YT6CW63%2F20201023%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20201023T225429Z&X-Amz-Expires=604800&X-Amz-Signature=82952733bcf439d3013c778473cd168d40261ccdce9a8d331e5f32339217c864&X-Amz-SignedHeaders=host
B082XY23D5,Samsung Galaxy S20 5G Factory Unlocked New Android Cell Phone US Version 128GB of Storage Fingerprint ID and Facial Recognition Long-Lasting Battery Cosmic Gray$999.99$999.99,https://m.media-amazon.com/images/I/61nSb8Jn7oL._AC_UY218_.jpg,4.5,5,676,999.99,false,9,https://www.amazon.com/s?k=mobile+phones&ref=nb_sb_noss_2,https://scrapezone-raw-htmls.s3.amazonaws.com/26311c52-3ddd-48b1-99da-c1e568c51f40-5f935f0ef53aaba35fbed42a.html?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIASK4CGCNC3YT6CW63%2F20201023%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20201023T225429Z&X-Amz-Expires=604800&X-Amz-Signature=82952733bcf439d3013c778473cd168d40261ccdce9a8d331e5f32339217c864&X-Amz-SignedHeaders=host
B07BH6MXRT,Samsung Galaxy S9 64GB Lilac Purple - Fully Unlocked (Renewed)$254.00$254.00,https://m.media-amazon.com/images/I/61ktW8ONmkL._AC_UY218_.jpg,4.3,5,7244,254,false,10,https://www.amazon.com/s?k=mobile+phones&ref=nb_sb_noss_2,https://scrapezone-raw-htmls.s3.amazonaws.com/26311c52-3ddd-48b1-99da-c1e568c51f40-5f935f0ef53aaba35fbed42a.html?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIASK4CGCNC3YT6CW63%2F20201023%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20201023T225429Z&X-Amz-Expires=604800&X-Amz-Signature=82952733bcf439d3013c778473cd168d40261ccdce9a8d331e5f32339217c864&X-Amz-SignedHeaders=host
