source,title,text,date,link,url,html_output
CNET,iPhone 12 review: One of our highest-rated phones of all time,5G support a new striking design improved cameras and four different models all add up to make the iPhone 12 an absolute unit.,2020-10-23T14:14:26.370Z,https://www.cnet.com/news/iphone-12-review-apple-iphone-12-pro-5g-support-improved-cameras-redesign/,https://www.google.com/search?q=iphone+12&source=lnms&tbm=nws&sa=X&ved=2ahUKEwi2t9TK_LXsAhXNGewKHUAdCJMQ_AUoAnoECAQQBA&biw=1440&bih=766,https://scrapezone-raw-htmls.s3.amazonaws.com/052ff186-cd71-4d8a-a416-31fbb574178c-5f9363c1f53aaba35fbed462.html?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIASK4CGCNC3YT6CW63%2F20201023%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20201023T231426Z&X-Amz-Expires=604800&X-Amz-Signature=eab73100f810053836f80025d7609f1662d3114a85d3d56c41c5101975714785&X-Amz-SignedHeaders=host
CNBC,That missing iPhone 12 charging plug is poised to provide a boost to one of Apple&apos;s hottest growth areas,The iPhone 12 ships without a charging plug or wired earphones in the box. That will drive customers to spend extra on plugs and AirPods ...,2020-10-23T15:14:26.372Z,https://www.cnbc.com/2020/10/23/apple-iphone-12-missing-charger-to-provide-growth-to-accessories-business.html,https://www.google.com/search?q=iphone+12&source=lnms&tbm=nws&sa=X&ved=2ahUKEwi2t9TK_LXsAhXNGewKHUAdCJMQ_AUoAnoECAQQBA&biw=1440&bih=766,https://scrapezone-raw-htmls.s3.amazonaws.com/052ff186-cd71-4d8a-a416-31fbb574178c-5f9363c1f53aaba35fbed462.html?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIASK4CGCNC3YT6CW63%2F20201023%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20201023T231426Z&X-Amz-Expires=604800&X-Amz-Signature=eab73100f810053836f80025d7609f1662d3114a85d3d56c41c5101975714785&X-Amz-SignedHeaders=host
Mac Rumors,PSA: Non-iPhone 12 Models Charge Super Slowly With MagSafe Charger,Alongside the iPhone 12 models Apple introduced a new $39 MagSafe Charger that&apos;s meant to work with the magnets in the iPhone 12 Pro ...,2020-10-23T23:14:26.372Z,http://www.macrumors.com/2020/10/23/magsafe-charger-slow-charging-older-iphones/,https://www.google.com/search?q=iphone+12&source=lnms&tbm=nws&sa=X&ved=2ahUKEwi2t9TK_LXsAhXNGewKHUAdCJMQ_AUoAnoECAQQBA&biw=1440&bih=766,https://scrapezone-raw-htmls.s3.amazonaws.com/052ff186-cd71-4d8a-a416-31fbb574178c-5f9363c1f53aaba35fbed462.html?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIASK4CGCNC3YT6CW63%2F20201023%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20201023T231426Z&X-Amz-Expires=604800&X-Amz-Signature=eab73100f810053836f80025d7609f1662d3114a85d3d56c41c5101975714785&X-Amz-SignedHeaders=host
AppleInsider,Early tests show Ceramic Shield significantly improves iPhone 12 durability,The new Ceramic Shield cover glass on the iPhone 12 and iPhone 12 Pro appears to significantly improve durability and scratch resistance ...,2020-10-23T23:14:26.373Z,https://appleinsider.com/articles/20/10/23/early-tests-show-ceramic-shield-significantly-improves-iphone-12-durability,https://www.google.com/search?q=iphone+12&source=lnms&tbm=nws&sa=X&ved=2ahUKEwi2t9TK_LXsAhXNGewKHUAdCJMQ_AUoAnoECAQQBA&biw=1440&bih=766,https://scrapezone-raw-htmls.s3.amazonaws.com/052ff186-cd71-4d8a-a416-31fbb574178c-5f9363c1f53aaba35fbed462.html?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIASK4CGCNC3YT6CW63%2F20201023%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20201023T231426Z&X-Amz-Expires=604800&X-Amz-Signature=eab73100f810053836f80025d7609f1662d3114a85d3d56c41c5101975714785&X-Amz-SignedHeaders=host
Forbes,Apple Loop: New iPhone 12 Problem Reviewed Concerns Over MagSafe Strength New MacBook Pro Details,This week&apos;s Apple headlines; iPhone 12 and iPhone 12 Pro reviews Apple&apos;s 5G problem the strength of MagSafe a closer look at the iPad Air ...,2020-10-23T23:14:26.373Z,https://www.forbes.com/sites/ewanspence/2020/10/23/apple-news-headlines-iphone-12-iphone-12-pro-review-magsafe-ipad-air-macbook-pro-nyt-widget/,https://www.google.com/search?q=iphone+12&source=lnms&tbm=nws&sa=X&ved=2ahUKEwi2t9TK_LXsAhXNGewKHUAdCJMQ_AUoAnoECAQQBA&biw=1440&bih=766,https://scrapezone-raw-htmls.s3.amazonaws.com/052ff186-cd71-4d8a-a416-31fbb574178c-5f9363c1f53aaba35fbed462.html?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIASK4CGCNC3YT6CW63%2F20201023%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20201023T231426Z&X-Amz-Expires=604800&X-Amz-Signature=eab73100f810053836f80025d7609f1662d3114a85d3d56c41c5101975714785&X-Amz-SignedHeaders=host
Forbes,Apple&#x2019;s Massive iPhone 13 Upgrade Suddenly Confirmed,Apple&apos;s new iPhone 12 range launched with clear compromises in every model but now Apple documentation has now confirmed the first ...,2020-10-23T00:14:26.374Z,https://www.forbes.com/sites/gordonkelly/2020/10/22/apple-iphone-13-pro-max-5g-release-iphone-12-pro-max-upgrade/,https://www.google.com/search?q=iphone+12&source=lnms&tbm=nws&sa=X&ved=2ahUKEwi2t9TK_LXsAhXNGewKHUAdCJMQ_AUoAnoECAQQBA&biw=1440&bih=766,https://scrapezone-raw-htmls.s3.amazonaws.com/052ff186-cd71-4d8a-a416-31fbb574178c-5f9363c1f53aaba35fbed462.html?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIASK4CGCNC3YT6CW63%2F20201023%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20201023T231426Z&X-Amz-Expires=604800&X-Amz-Signature=eab73100f810053836f80025d7609f1662d3114a85d3d56c41c5101975714785&X-Amz-SignedHeaders=host
Tom&apos;s Guide,iPhone 12 battery life results are in &#x2014; and they&#x2019;re not great,The iPhone 12 and iPhone 12 Pro battery life take a big hit on on our web surfing test over 5G.,2020-10-22T23:14:26.374Z,https://www.tomsguide.com/news/iphone-12-battery-life-results-are-in-and-theyre-not-great,https://www.google.com/search?q=iphone+12&source=lnms&tbm=nws&sa=X&ved=2ahUKEwi2t9TK_LXsAhXNGewKHUAdCJMQ_AUoAnoECAQQBA&biw=1440&bih=766,https://scrapezone-raw-htmls.s3.amazonaws.com/052ff186-cd71-4d8a-a416-31fbb574178c-5f9363c1f53aaba35fbed462.html?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIASK4CGCNC3YT6CW63%2F20201023%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20201023T231426Z&X-Amz-Expires=604800&X-Amz-Signature=eab73100f810053836f80025d7609f1662d3114a85d3d56c41c5101975714785&X-Amz-SignedHeaders=host
Mac Rumors,Early iPhone 12 Tests Show Ceramic Shield is Stronger and More Scratch Resistant Than iPhone 11 Glass,Apple&apos;s new iPhone 12 models are protected by a Ceramic Shield cover glass that has nano-ceramic crystals infused right into the glass to ...,2020-10-23T21:14:26.375Z,https://www.macrumors.com/2020/10/23/iphone-12-ceramic-shield-test/,https://www.google.com/search?q=iphone+12&source=lnms&tbm=nws&sa=X&ved=2ahUKEwi2t9TK_LXsAhXNGewKHUAdCJMQ_AUoAnoECAQQBA&biw=1440&bih=766,https://scrapezone-raw-htmls.s3.amazonaws.com/052ff186-cd71-4d8a-a416-31fbb574178c-5f9363c1f53aaba35fbed462.html?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIASK4CGCNC3YT6CW63%2F20201023%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20201023T231426Z&X-Amz-Expires=604800&X-Amz-Signature=eab73100f810053836f80025d7609f1662d3114a85d3d56c41c5101975714785&X-Amz-SignedHeaders=host
9to5Mac,Apple&#x2019;s neat solution to selling the iPhone 12 with EarPods in France,Apple has found a neat solution to the problem caused by being legally required to sell the iPhone 12 with EarPods in France ...,2020-10-21T23:14:26.375Z,https://9to5mac.com/2020/10/21/iphone-12-with-earpods/,https://www.google.com/search?q=iphone+12&source=lnms&tbm=nws&sa=X&ved=2ahUKEwi2t9TK_LXsAhXNGewKHUAdCJMQ_AUoAnoECAQQBA&biw=1440&bih=766,https://scrapezone-raw-htmls.s3.amazonaws.com/052ff186-cd71-4d8a-a416-31fbb574178c-5f9363c1f53aaba35fbed462.html?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIASK4CGCNC3YT6CW63%2F20201023%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20201023T231426Z&X-Amz-Expires=604800&X-Amz-Signature=eab73100f810053836f80025d7609f1662d3114a85d3d56c41c5101975714785&X-Amz-SignedHeaders=host
CNN,Buying an iPhone at the Apple Store will be different this year. Here&apos;s how,The new iPhone hits shelves on Friday and that usually means fans lining up outside Apple Stores around the world.,2020-10-23T10:14:26.376Z,https://www.cnn.com/2020/10/23/tech/iphone-12-launch-day-apple-store/index.html,https://www.google.com/search?q=iphone+12&source=lnms&tbm=nws&sa=X&ved=2ahUKEwi2t9TK_LXsAhXNGewKHUAdCJMQ_AUoAnoECAQQBA&biw=1440&bih=766,https://scrapezone-raw-htmls.s3.amazonaws.com/052ff186-cd71-4d8a-a416-31fbb574178c-5f9363c1f53aaba35fbed462.html?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIASK4CGCNC3YT6CW63%2F20201023%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20201023T231426Z&X-Amz-Expires=604800&X-Amz-Signature=eab73100f810053836f80025d7609f1662d3114a85d3d56c41c5101975714785&X-Amz-SignedHeaders=host
