title,link,displayed_link,snippet,cached_page_link,related_pages_link,position,url,html_output
iPhone 12 and iPhone 12 mini - Apple,https://www.apple.com/iphone-12/,www.apple.com › iphone-12,Meet the new iPhone 12 and iPhone 12 mini. 5G speed. A14 Bionic. Super Retina XDR display. Ceramic Shield. And Night mode on every camera.,,,1,https://www.google.com/search?source=hp&ei=huyHX_b4IaCAjLsP_YKduAE&q=iphone+12&oq=phone+12&gs_lcp=CgZwc3ktYWIQAxgAMgcIABDEAhAKMgcIABDEAhAKMgcIABDEAhAKMgQIABAKMgQIABAKMgQIABAKMgQIABAKMgQIABAKMgQIABAKMgQIABAKOgIIADoCCC5QvyBYsC1g8ztoA3AAeACAAZQBiAHVCZIBAzAuOZgBAKABAaoBB2d3cy13aXqwAQA&sclient=psy-ab,https://scrapezone-raw-htmls.s3.amazonaws.com/3cfbfbff-7ecc-4aad-bade-9082e88f3f1b-5f93647ef53aaba35fbed469.html?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIASK4CGCNC3YT6CW63%2F20201023%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20201023T231736Z&X-Amz-Expires=604800&X-Amz-Signature=838859610ec0c0992c2d2d07aa07588c92f984ece29e64967f54ce36f154c781&X-Amz-SignedHeaders=host
iPhone 12 Pro - Apple,https://www.apple.com/iphone-12-pro/,www.apple.com › iphone-12-pro,It's a leap year. · iPhone 12 Pro Design · Superfast wireless · A14 Bionic · LiDAR Scanner · Pro camera system · Dolby Vision recording · TrueDepth camera.,,,2,https://www.google.com/search?source=hp&ei=huyHX_b4IaCAjLsP_YKduAE&q=iphone+12&oq=phone+12&gs_lcp=CgZwc3ktYWIQAxgAMgcIABDEAhAKMgcIABDEAhAKMgcIABDEAhAKMgQIABAKMgQIABAKMgQIABAKMgQIABAKMgQIABAKMgQIABAKMgQIABAKOgIIADoCCC5QvyBYsC1g8ztoA3AAeACAAZQBiAHVCZIBAzAuOZgBAKABAaoBB2d3cy13aXqwAQA&sclient=psy-ab,https://scrapezone-raw-htmls.s3.amazonaws.com/3cfbfbff-7ecc-4aad-bade-9082e88f3f1b-5f93647ef53aaba35fbed469.html?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIASK4CGCNC3YT6CW63%2F20201023%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20201023T231736Z&X-Amz-Expires=604800&X-Amz-Signature=838859610ec0c0992c2d2d07aa07588c92f984ece29e64967f54ce36f154c781&X-Amz-SignedHeaders=host
,,,,,,3,https://www.google.com/search?source=hp&ei=huyHX_b4IaCAjLsP_YKduAE&q=iphone+12&oq=phone+12&gs_lcp=CgZwc3ktYWIQAxgAMgcIABDEAhAKMgcIABDEAhAKMgcIABDEAhAKMgQIABAKMgQIABAKMgQIABAKMgQIABAKMgQIABAKMgQIABAKMgQIABAKOgIIADoCCC5QvyBYsC1g8ztoA3AAeACAAZQBiAHVCZIBAzAuOZgBAKABAaoBB2d3cy13aXqwAQA&sclient=psy-ab,https://scrapezone-raw-htmls.s3.amazonaws.com/3cfbfbff-7ecc-4aad-bade-9082e88f3f1b-5f93647ef53aaba35fbed469.html?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIASK4CGCNC3YT6CW63%2F20201023%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20201023T231736Z&X-Amz-Expires=604800&X-Amz-Signature=838859610ec0c0992c2d2d07aa07588c92f984ece29e64967f54ce36f154c781&X-Amz-SignedHeaders=host
iPhone 12 and iPhone 12 mini - Technical Specifications - Apple,https://www.apple.com/iphone-12/specs/,www.apple.com › iPhone › iPhone 12,64GB; 128GB; 256GB. iPhone 12. 64GB; 128GB; 256GB. Size and Weight. Width: 2.53 inches (64.2 mm). Height: 5.18 inches (131.5 mm). Depth: 0.29 inch,,,4,https://www.google.com/search?source=hp&ei=huyHX_b4IaCAjLsP_YKduAE&q=iphone+12&oq=phone+12&gs_lcp=CgZwc3ktYWIQAxgAMgcIABDEAhAKMgcIABDEAhAKMgcIABDEAhAKMgQIABAKMgQIABAKMgQIABAKMgQIABAKMgQIABAKMgQIABAKMgQIABAKOgIIADoCCC5QvyBYsC1g8ztoA3AAeACAAZQBiAHVCZIBAzAuOZgBAKABAaoBB2d3cy13aXqwAQA&sclient=psy-ab,https://scrapezone-raw-htmls.s3.amazonaws.com/3cfbfbff-7ecc-4aad-bade-9082e88f3f1b-5f93647ef53aaba35fbed469.html?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIASK4CGCNC3YT6CW63%2F20201023%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20201023T231736Z&X-Amz-Expires=604800&X-Amz-Signature=838859610ec0c0992c2d2d07aa07588c92f984ece29e64967f54ce36f154c781&X-Amz-SignedHeaders=host
iPhone 12: Available Now - Early Reviews Everything We Know,https://www.macrumors.com/roundup/iphone-12/,www.macrumors.com › roundup › iphone-12,6 hours ago — The iPhone 12 and iPhone 12 mini are Apple's mainstream flagship iPhones for 2020. The phones come in 6.1-inch and 5.4-inch sizes with&nbsp;...,,,5,https://www.google.com/search?source=hp&ei=huyHX_b4IaCAjLsP_YKduAE&q=iphone+12&oq=phone+12&gs_lcp=CgZwc3ktYWIQAxgAMgcIABDEAhAKMgcIABDEAhAKMgcIABDEAhAKMgQIABAKMgQIABAKMgQIABAKMgQIABAKMgQIABAKMgQIABAKMgQIABAKOgIIADoCCC5QvyBYsC1g8ztoA3AAeACAAZQBiAHVCZIBAzAuOZgBAKABAaoBB2d3cy13aXqwAQA&sclient=psy-ab,https://scrapezone-raw-htmls.s3.amazonaws.com/3cfbfbff-7ecc-4aad-bade-9082e88f3f1b-5f93647ef53aaba35fbed469.html?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIASK4CGCNC3YT6CW63%2F20201023%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20201023T231736Z&X-Amz-Expires=604800&X-Amz-Signature=838859610ec0c0992c2d2d07aa07588c92f984ece29e64967f54ce36f154c781&X-Amz-SignedHeaders=host
iPhone 12 review: One of our highest-rated phones of all time ...,https://www.cnet.com/news/iphone-12-review-apple-iphone-12-pro-5g-support-improved-cameras-redesign/,www.cnet.com › news › iphone-12-review-apple-iphon...,"9 hours ago — 5G support, a new striking design, improved cameras and four different models all add up to make the iPhone 12 an absolute unit.",,,6,https://www.google.com/search?source=hp&ei=huyHX_b4IaCAjLsP_YKduAE&q=iphone+12&oq=phone+12&gs_lcp=CgZwc3ktYWIQAxgAMgcIABDEAhAKMgcIABDEAhAKMgcIABDEAhAKMgQIABAKMgQIABAKMgQIABAKMgQIABAKMgQIABAKMgQIABAKMgQIABAKOgIIADoCCC5QvyBYsC1g8ztoA3AAeACAAZQBiAHVCZIBAzAuOZgBAKABAaoBB2d3cy13aXqwAQA&sclient=psy-ab,https://scrapezone-raw-htmls.s3.amazonaws.com/3cfbfbff-7ecc-4aad-bade-9082e88f3f1b-5f93647ef53aaba35fbed469.html?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIASK4CGCNC3YT6CW63%2F20201023%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20201023T231736Z&X-Amz-Expires=604800&X-Amz-Signature=838859610ec0c0992c2d2d07aa07588c92f984ece29e64967f54ce36f154c781&X-Amz-SignedHeaders=host
iPhone 12 | Rumors Release Dates Features Specs,https://appleinsider.com/inside/iphone-12,appleinsider.com › inside › iphone-12,The iPhone 12 is the replacement for the baseline iPhone 11. It has a 6.1 OLED display using Apple's Super Retina XDR technology and supports 5G networks.,,,7,https://www.google.com/search?source=hp&ei=huyHX_b4IaCAjLsP_YKduAE&q=iphone+12&oq=phone+12&gs_lcp=CgZwc3ktYWIQAxgAMgcIABDEAhAKMgcIABDEAhAKMgcIABDEAhAKMgQIABAKMgQIABAKMgQIABAKMgQIABAKMgQIABAKMgQIABAKMgQIABAKOgIIADoCCC5QvyBYsC1g8ztoA3AAeACAAZQBiAHVCZIBAzAuOZgBAKABAaoBB2d3cy13aXqwAQA&sclient=psy-ab,https://scrapezone-raw-htmls.s3.amazonaws.com/3cfbfbff-7ecc-4aad-bade-9082e88f3f1b-5f93647ef53aaba35fbed469.html?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIASK4CGCNC3YT6CW63%2F20201023%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20201023T231736Z&X-Amz-Expires=604800&X-Amz-Signature=838859610ec0c0992c2d2d07aa07588c92f984ece29e64967f54ce36f154c781&X-Amz-SignedHeaders=host
New iPhone 12 release date price specs colors and pre-orders,https://www.tomsguide.com/news/iphone-12-release-date-price-specs,www.tomsguide.com › news › iphone-12-release-date-...,"All four iPhone 12 models offer 5G, a faster A14 Bionic processor and a sleek flat-edge design. Apple has updated the cameras, too, with better computational&nbsp;...",,,8,https://www.google.com/search?source=hp&ei=huyHX_b4IaCAjLsP_YKduAE&q=iphone+12&oq=phone+12&gs_lcp=CgZwc3ktYWIQAxgAMgcIABDEAhAKMgcIABDEAhAKMgcIABDEAhAKMgQIABAKMgQIABAKMgQIABAKMgQIABAKMgQIABAKMgQIABAKMgQIABAKOgIIADoCCC5QvyBYsC1g8ztoA3AAeACAAZQBiAHVCZIBAzAuOZgBAKABAaoBB2d3cy13aXqwAQA&sclient=psy-ab,https://scrapezone-raw-htmls.s3.amazonaws.com/3cfbfbff-7ecc-4aad-bade-9082e88f3f1b-5f93647ef53aaba35fbed469.html?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIASK4CGCNC3YT6CW63%2F20201023%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20201023T231736Z&X-Amz-Expires=604800&X-Amz-Signature=838859610ec0c0992c2d2d07aa07588c92f984ece29e64967f54ce36f154c781&X-Amz-SignedHeaders=host
SpaceX,https://www.spacex.com/,www.spacex.com,"SpaceX designs, manufactures and launches advanced rockets and spacecraft. The company was founded in 2002 to revolutionize space technology, with the&nbsp;...",,,1,https://www.google.com/search?q=spacex&source=lnms&sa=X&ved=0ahUKEwjq28Pe_LXsAhXMDOwKHci4CIUQ_AUIDigA&biw=1440&bih=766&dpr=2,https://scrapezone-raw-htmls.s3.amazonaws.com/c30df87b-ad4c-4168-ad9b-6440ae3cb514-5f93647ef53aaba35fbed469.html?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIASK4CGCNC3YT6CW63%2F20201023%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20201023T231738Z&X-Amz-Expires=604800&X-Amz-Signature=6754c6a0872afc3fd0ab60f69f9d07d72bec5c39120c401405ecb697809a26ed&X-Amz-SignedHeaders=host
Launches - SpaceX,https://www.spacex.com/launches/,www.spacex.com › launches,"SpaceX designs, manufactures and launches advanced rockets and spacecraft&nbsp;...",,,2,https://www.google.com/search?q=spacex&source=lnms&sa=X&ved=0ahUKEwjq28Pe_LXsAhXMDOwKHci4CIUQ_AUIDigA&biw=1440&bih=766&dpr=2,https://scrapezone-raw-htmls.s3.amazonaws.com/c30df87b-ad4c-4168-ad9b-6440ae3cb514-5f93647ef53aaba35fbed469.html?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIASK4CGCNC3YT6CW63%2F20201023%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20201023T231738Z&X-Amz-Expires=604800&X-Amz-Signature=6754c6a0872afc3fd0ab60f69f9d07d72bec5c39120c401405ecb697809a26ed&X-Amz-SignedHeaders=host
